DRDC 3.5,LIST #,PART NAME,REF,NOTE,PER BUILD,BUILDS,TOTAL,,,,,,,,,,,,,,,,,
WORKBENCH,3,AIFEN F5PRO 1000W Hot Air Rework Station Industrial-Grade Hot AirAI Gun Electronics Soldering Station BGA SMD PCB Heat Gun Tools,https://www.aliexpress.com/item/1005008737836489.html?spm=a2g0o.productlist.main.1.73393cc9NjxIfb&aem_p4p_detail=202509221416452441678954241360004065815&algo_pvid=c05cab82-69f7-4776-8453-1289e0ea4ab6&algo_exp_id=c05cab82-69f7-4776-8453-1289e0ea4ab6-0&pdp_ext_f=%7B%22order%22%3A%2227%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%21720.50%21259.38%21%21%21510.49%21183.78%21%402101ef7017585758052074246ed523%2112000046576207721%21sea%21CA%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A655fccfc%3Bm03_new_user%3A-29895&curPageLogUid=4FPwlXP66XOx&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008737836489%7C_p_origin_prod%3A&search_p4p_id=202509221416452441678954241360004065815_1,,1,2,2,,,,,,,,,,,,,,,,,
BAT AIR,27,GNB 880mAh 2S HV - 160C - XT30,https://rotorvillage.ca/morevolts-21700-6s2p-pack-xt60h-10000mah/,,6,2,12,,,,,,,,,,,,,,,,,
BAT AIR,27,Tattu G-Tech 3500mAh 6S 150C Lipo Battery Pack with XT90-S Plug,https://genstattu.com/tattu-g-tech-3500mah-6s-150c-lipo-battery-pack-with-xt90-s-plug/,,4,2,8,,,,,,,,,,,,,,,,,
BAT AIR,27,Tattu Semi-solid State 350Wh/kg 33000mAh,https://genstattu.com/tattu-semi-solid-state-350wh-kg-33000mah-10c-22-2v-6s1p-g-tech-lipo-battery-pack-with-xt90-s-plug/,,4,2,8,,,,,,,,,,,,,,,,,
BAT AIR,27,GNB 8200mah 8S HV - 65C - XT90,https://rotorvillage.ca/gnb-8200mah-8s-hv-65c-xt90/,,4,2,8,,,,,,,,,,,,,,,,,
BAT AIR,27,Tattu R-Line V6.0 ST 1480mAh 6S 160C Lipo XT60,https://rotorvillage.ca/tattu-r-line-v6-0-st-1480mah-6s-160c-lipo-xt60/,,10,2,20,,,,,,,,,,,,,,,,,
BAT AIR,27,Molicel P45B 21700 4500mah 45A Li-ion,https://rotorvillage.ca/molicel-p45b-21700-4500mah-45a-li-ion-2pc/,,20,2,40,,,,,,,,,,,,,,,,,
BAT AIR,27,Tattu 4500mAh 6s 25C 22.2V Lipo Battery - XT60 Plug,https://rotorvillage.ca/tattu-4500mah-6s-25c-22-2v-lipo-battery-xt60-plug/,,10,2,20,,,,,,,,,,,,,,,,,
FRAME,11,HNY Badger II 11 Inch,https://www.team-blacksheep.com/products/product:7480,,2,2,4,,,,,,,,,,,,,,,,,
FRAME,11,"ImpulseRC Apex EVO HD Freestyle Frame - 5"" Red Edition",https://rotorvillage.ca/impulserc-apex-evo-hd-freestyle-frame-5-red-edition/,,1,2,2,,,,,,,,,,,,,,,,,
FRAME,11,AOS HS5 Frame Kit,https://shop.iflight.com/drone-frame-cat346/AOS-HS5-Frame-Kit-Pro2258,,1,2,2,,,,,,,,,,,,,,,,,
FRAME,11,Helion Pro Frame Kit,https://shop.iflight.com/drone-frame-cat346/Helion-Pro-Frame-Kit-Pro2312,,1,2,2,,,,,,,,,,,,,,,,,
,30,DJI Osmo Action 5,https://www.amazon.ca/DJI-Standard-Waterproof-Stabilization-Touchscreens/dp/B0D1YH4B2R/ref=sr_1_5?dib=eyJ2IjoiMSJ9.RFJurtKf1_X4utxaFcDt1iggIDjZdHRUNraQuCk5bCHxpAs4yALQkg8rjwf3p1YzqAJ9UBalK1rmVjTAMxzs5ivJ5s8_XZbIA3IeYvbGzZUNyd6sQ8s-xjnke8nYl2ihMNMwwAkvKnI9nhTFXLZHu8K__5Lm3IE9h4K7mYKIBACPPM9Lr3PY_hqMlkVBCmLLPCf-3Qf43U8_o5nza1xhm4dRTAi5Tpc-OJt8MyzTu0Yb61jhw_WDeN56aRGIRLpwhW0bvokPL1Vvo6PJvWgTZZd8BBX3eP4TTMDBxL-cqjo.UiZLPngNCLfOpBnTtaBUV3RAdx6-81768TmVu_SKlJc&dib_tag=se&gad_source=1&hvadid=668186609491&hvdev=c&hvexpln=0&hvlocphy=1002287&hvnetw=g&hvocijid=16163980405746096985--&hvqmt=e&hvrand=16163980405746096985&hvtargid=kwd-2423449815045&hydadcr=6985_13369285&keywords=amazon%2Bdji%2Bosmo%2Baction%2B5&mcid=94f96bc10ab231ecb79da8f670396eee&qid=1757641829&sr=8-5&ufe=app_do%3Aamzn1.fos.a47c58ca-3c50-43d7-a4fc-fb71491f9720&th=1,,1,2,2,,,,,,,,,,,,,,,,,
,42,TF-19 Wasp,https://throwflame.com/tf-19-wasp/,,1,2,2,,,,,,,,,,,,,,,,,
,43,30kg Load RC Tank with Battery Metal Track Motor Shock Absorption Robot Car STM32 Controller with FS Handle Programmable Tank,https://www.aliexpress.com/item/1005009033221778.html?spm=a2g0o.productlist.main.2.74a710e17yDQZ9&aem_p4p_detail=202509230241268575066612801220004653329&algo_pvid=611c3549-dfde-44fd-8f57-1320cfea3985&algo_exp_id=611c3549-dfde-44fd-8f57-1320cfea3985-1&pdp_ext_f=%7B%22order%22%3A%222%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%211216.76%21608.38%21%21%216120.52%213060.26%21%40210337c117586204867801958e8d45%2112000047655303667%21sea%21CA%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A655fccfc%3Bm03_new_user%3A-29895&curPageLogUid=el4K2dIGmMZQ&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009033221778%7C_p_origin_prod%3A&search_p4p_id=202509230241268575066612801220004653329_1,,1,2,2,,,,,,,,,,,,,,,,,
,43,"1/8 KRATON 6S 4X4 RTR Brushless Speed Truck, Blue/Orange",https://www.arrma-rc.com/en/product/1-8-kraton-6s-4x4-rtr-brushless-speed-truck/ARA8608V6.html,,1,2,2,,,,,,,,,,,,,,,,,
,43,MT12 Surface Radio Controller,https://radiomasterrc.com/products/mt12-surface-radio-controller?variant=46486340993216,ELRS,2,2,4,,,,,,,,,,,,,,,,,
,43,DX6 Rugged 6-Channel DSMR Transmitter with SR515 Receiver,https://www.horizonhobby.com/product/dx6-rugged-6-channel-dsmr-transmitter-with-sr515-receiver/SPM6215.html,,1,2,2,,,,,,,,,,,,,,,,,
,43,ER8 2.4GHz ELRS PWM Receiver,https://radiomasterrc.com/collections/er-series-receivers/products/er8-2-4ghz-elrs-pwm-receiver,,3,2,6,,,,,,,,,,,,,,,,,
,39,EC1500,https://www.e-fliterc.com/product/ec-1500-twin-1.5m-pnp/EFL15775.html,,1,2,2,,,,,,,,,,,,,,,,,
,16,TBS Lucid Pro Stack 6S 60A,,https://www.team-blacksheep.com/products/prod:lucid_stk_pro,1,2,2,,,,,,,,,,,,,,,,,
,16,TBS Lucid H7 Stack 8S 60A,,https://www.team-blacksheep.com/products/prod:lucid_h7_stack,1,2,2,,,,,,,,,,,,,,,,,
,16,HobbyWing XRotor Micro Combo Stack F7 and 65A 4in1 BL32 ESC,,https://www.team-blacksheep.com/products/product:7324,1,2,2,,,,,,,,,,,,,,,,,
,16,SpeedyBee F405 Mini BLS 35A 20x20 Stack,,https://www.team-blacksheep.com/products/product:7306,1,2,2,,,,,,,,,,,,,,,,,
,16,TBS Lucid AIO 1-2S,,https://www.team-blacksheep.com/products/prod:lucid_aio_2s,1,2,2,,,,,,,,,,,,,,,,,
,16,NBD XFETTec Infinity AIO G4 Flight Controller,,https://www.team-blacksheep.com/products/product:7727,1,2,2,,,,,,,,,,,,,,,,,
,16,TBS Lucid PDB 500A,,https://www.team-blacksheep.com/products/prod:lucid500a_pdb,2,2,4,,,,,,,,,,,,,,,,,
,16,Fractal 5V Boostybaby Ultra Small High Power Voltage Booster,,https://www.team-blacksheep.com/products/product:8071,2,2,4,,,,,,,,,,,,,,,,,
,16,Matek H743-Slim V4 + TBS Lucid 60A 8S Combo,https://rotorvillage.ca/matek-h743-slim-v4-tbs-lucid-60a-8s-combo/,,2,2,4,,,,,,,,,,,,,,,,,
,16,Matek F405 Wing V2 Flight Controller,https://rotorvillage.ca/matek-f405-wing-v2-flight-controller/,,2,2,4,,,,,,,,,,,,,,,,,
,16,MicoAir H743 AIO 35A AM32,https://rotorvillage.ca/micoair-h743-aio-35a-am32/,,1,2,2,,,,,,,,,,,,,,,,,
,16,HDZero Halo H743 MPU6000 Flight Controller,https://rotorvillage.ca/hdzero-halo-h743-mpu6000-flight-controller/,,1,2,2,,,,,,,,,,,,,,,,,
,17,Walksnail Avatar HD Moonlight Kit,,https://www.team-blacksheep.com/products/product:7459,1,2,2,,,,,,,,,,,,,,,,,
,17,Foxeer Reaper Extreme - High Power Video Transmitter,https://rotorvillage.ca/foxeer-reaper-extreme-high-power-video-transmitter/,,1,2,2,,,,,,,,,,,,,,,,,
,17,NeutronRC VTX+ELRS AIO (5.8ghz +2.4ghz),https://rotorvillage.ca/neutronrc-vtx-elrs-aio-5-8ghz-2-4ghz/,,1,2,2,,,,,,,,,,,,,,,,,
,17,Walksnail Avatar Repeater,https://rotorvillage.ca/walksnail-avatar-repeater/,,2,2,4,,,,,,,,,,,,,,,,,
,17,Walksnail Avatar HD GT Kit (2W),,https://www.team-blacksheep.com/products/product:7852,2,2,4,,,,,,,,,,,,,,,,,
,20,Walksnail Avatar HD Pro Camera,,https://www.team-blacksheep.com/products/product:7090,2,2,4,,,,,,,,,,,,,,,,,
,20,Walksnail Avatar HD Camera V2,,https://www.team-blacksheep.com/products/product:7087,2,2,4,,,,,,,,,,,,,,,,,
,20,Walksnail Avatar Nano Camera,,https://www.team-blacksheep.com/products/product:6139,2,2,4,,,,,,,,,,,,,,,,,
,21,Radiomaster XR4 ExpressLRS GemX Receiver,https://rotorvillage.ca/radiomaster-xr4-expresslrs-gemx-receiver/,,5,2,10,,,,,,,,,,,,,,,,,
,21,BetaFPV SuperX Gemini Xross ELRS Diversity RX (915+2.4G),https://rotorvillage.ca/betafpv-superx-gemini-xross-elrs-diversity-rx-915-2-4g/,,5,2,10,,,,,,,,,,,,,,,,,
BNF,37,Axisflying Manta 3.6'' / 3.6inch FPV Drone BNF / Analog / Walksnail HD Pro Kit / GPS / Freestyle / Cinematic,https://www.axisflying.com/products/axisflying-manta-36-36inch-fpv-drone-bnf-analog-walksnail-hd-pro-kit-gps-freestyle-cinematic?VariantsId=10216,,1,2,2,,,,,,,,,,,,,,,,,
FRAME,40,2122mm Skywalker Black x-8 FPV EPO Large Flying Wing Airplane ,https://www.aliexpress.com/item/1005008994570218.html?spm=a2g0o.productlist.main.23.60de19c8MVRqa3&algo_pvid=767ea414-aed9-4185-ab2c-38f9db175117&algo_exp_id=767ea414-aed9-4185-ab2c-38f9db175117-22&pdp_ext_f=%7B%22order%22%3A%22-1%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%21489.54%21342.68%21%21%21346.14%21242.30%21%402101c80217586203506716523e91cb%2112000047499969097%21sea%21CA%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A655fccfc%3Bm03_new_user%3A-29895&curPageLogUid=XGTTvQ0srdhR&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008994570218%7C_p_origin_prod%3A,,2,2,4,,,,,,,,,,,,,,,,,
,40,TBS Chupito Set,https://www.team-blacksheep.com/products/prod:tbs_chupito_set,,2,2,4,,,,,,,,,,,,,,,,,
BNF,40,TBS Mojito (PNP Set) - FPV Flying Wing,https://www.team-blacksheep.com/products/prod:tbs_mojito_pnp_set,,2,2,4,,,,,,,,,,,,,,,,,
BNF,37,GEPRC MOZ7 V2 O4 Pro Long Range FPV Drone,https://geprc.com/product/geprc-moz7-v2-o4-pro-long-range-fpv/,,1,2,2,,,,,,,,,,,,,,,,,
BNF,37,iFlight Taurus X8 Pro Max HD 8S Cinelifter Drone BNF with DJI O4 Pro Air ,https://www.aliexpress.com/p/tesla-landing/index.html?scenario=c_ppc_item_bridge&productId=1005008788209815&_immersiveMode=true&withMainCard=true&src=google&aff_platform=true&isdl=y&src=google&albch=shopping&acnt=631-313-3945&isdl=y&slnk=&plac=&mtctp=&albbt=Google_7_shopping&aff_platform=google&aff_short_key=UneMJZVf&gclsrc=aw.ds&&albagn=888888&&ds_e_adid=&ds_e_matchtype=&ds_e_device=c&ds_e_network=x&ds_e_product_group_id=&ds_e_product_id=en1005008788209815&ds_e_product_merchant_id=108087493&ds_e_product_country=CA&ds_e_product_language=en&ds_e_product_channel=online&ds_e_product_store_id=&ds_url_v=2&albcp=19366866438&albag=&isSmbAutoCall=false&needSmbHouyi=false&gad_source=1&gad_campaignid=17337458112&gbraid=0AAAAACbpRIkrrEkEpMgY1DfGMxgkg6l6H&gclid=Cj0KCQjw58PGBhCkARIsADbDilyhqcf2FO95OaWSCzgTQ_7Fl8s5XvfeuixO6yXjcPGXX8d5Ek-J8P0aAupyEALw_wcB,,1,2,2,,,,,,,,,,,,,,,,,
BNF,37,Proto-Reflex,https://www.proto-systems.com/buyreflex,,1,2,2,,,,,,,,,,,,,,,,,
BNF,37,GEPRC MARK5 O4 Pro DC - ELRS2.4 + GPS,https://rotorvillage.ca/geprc-mark5-o4-pro-dc-elrs2-4-gps/,,1,2,2,,,,,,,,,,,,,,,,,
BNF,37,Flywoo Flybee 16 HD O4 Ultralight ELRS,https://rotorvillage.ca/flywoo-flybee-16-hd-o4-ultralight-elrs/,,1,3,3,,,,,,,,,,,,,,,,,
GOG,47,DJI Goggles 3,https://rotorvillage.ca/dji-goggles-3/,,1,3,3,,,,,,,,,,,,,,,,,
GOG,47,Walksnail Avatar HD FPV Goggles X,https://rotorvillage.ca/walksnail-avatar-hd-fpv-goggles-x/,,1,3,3,,,,,,,,,,,,,,,,,
GOG,47,HDZero Goggle 2,https://www.aliexpress.com/p/tesla-landing/index.html?scenario=c_ppc_item_bridge&productId=1005009014433529&_immersiveMode=true&withMainCard=true&src=google&aff_platform=true&isdl=y&src=google&albch=shopping&acnt=631-313-3945&isdl=y&slnk=&plac=&mtctp=&albbt=Google_7_shopping&aff_platform=google&aff_short_key=UneMJZVf&gclsrc=aw.ds&&albagn=888888&&ds_e_adid=&ds_e_matchtype=&ds_e_device=c&ds_e_network=x&ds_e_product_group_id=&ds_e_product_id=en1005009014433529&ds_e_product_merchant_id=107663787&ds_e_product_country=CA&ds_e_product_language=en&ds_e_product_channel=online&ds_e_product_store_id=&ds_url_v=2&albcp=19366866438&albag=&isSmbAutoCall=false&needSmbHouyi=false&gad_source=1&gad_campaignid=17337458112&gbraid=0AAAAACbpRIkrrEkEpMgY1DfGMxgkg6l6H&gclid=Cj0KCQjw58PGBhCkARIsADbDilwWGkOzChxUMTqk_ZwX-vCv91k2usVnYnZk3Hhn6snMNxzQSOJDFq8aAgOXEALw_wcB,,1,2,2,,,,,,,,,,,,,,,,,
,31,FPV Drone AI Binocular Tracking Module Visible Light and Night Vision Cameras Long-Rnge AutonomousTtracking and Guidance Module,https://www.aliexpress.com/item/1005009569510867.html?spm=a2g0o.cart.0.0.16a038daod1cCS&mp=1&pdp_npi=5%40dis%21CAD%21CAD%20951.84%21CAD%20941.25%21%21CAD%20941.25%21%21%21%402103244617585769080752253e064e%2112000049490386239%21ct%21CA%21-1%21%211%210,,1,2,2,,,,,,,,,,,,,,,,,
,53,4pcs Male XT60 to Female XT30 / XT-30 Connector Adapter(BDHI-89),,,2,2,4,,,,,,,,,,,,,,,,,
,53,4pcs Male XT30 to Female XT60 / XT-60 Battery Connector Adapter (BDHI-88),,,2,2,4,,,,,,,,,,,,,,,,,
,53,"XT90 Male to XT60 Female Connector Adaptor,Wireless XT90 to XT60 Converting Plug,for RC Lipo Battery ESC/Charger(2Pcs)",,,2,2,4,,,,,,,,,,,,,,,,,
,53,AUTOUTLET 20PCS 10Pairs XT60 Male & Female Bullet Connectors Power Plugs w/ Heat Shink for RC Car/Boat/LiPo Battery,,,2,4,8,,,,,,,,,,,,,,,,,
,60,Drone bomblet training system,Landing Zones Canada,,1,1,1,,,,,,,,,,,,,,,,,
,11,APEXEVO 570mm -670mm X-CLASS 13,https://www.aliexpress.com/p/tesla-landing/index.html?scenario=c_ppc_item_bridge&productId=1005009420821463&_immersiveMode=true&withMainCard=true&src=google&aff_platform=true&isdl=y&src=google&albch=shopping&acnt=631-313-3945&isdl=y&slnk=&plac=&mtctp=&albbt=Google_7_shopping&aff_platform=google&aff_short_key=UneMJZVf&gclsrc=aw.ds&&albagn=888888&&ds_e_adid=&ds_e_matchtype=&ds_e_device=c&ds_e_network=x&ds_e_product_group_id=&ds_e_product_id=en1005009420821463&ds_e_product_merchant_id=5590742483&ds_e_product_country=CA&ds_e_product_language=en&ds_e_product_channel=online&ds_e_product_store_id=&ds_url_v=2&albcp=19215273764&albag=&isSmbAutoCall=false&needSmbHouyi=false&gad_source=1&gad_campaignid=17178707511&gbraid=0AAAAACbpRIlrQOG_Censwz6X0qbIk6sb-&gclid=Cj0KCQjw58PGBhCkARIsADbDilwis5jbAgzlGckA8eITw40NoqHIvYcjdXr8nBTDeo4isCYjYIoR-iIaAkzLEALw_wcB,,3,3,9,,,,,,,,,,,,,,,,,
,12,VENEKA 3K Carbon Fiber Frame MARK4 V2 10Inch 427mm WheelBase RC FPV Freestyle Racing Drone Frame Kit(C),,,3,3,9,,,,,,,,,,,,,,,,,
,6,530PCS 1.5/2/3/4/5/6/8/10mm Halogen-Free Heat Shrink Tube Sleeving for Rc Multirotor FPV Racing Drone Battery Motor ESC ,,,3,3,9,,,,,,,,,,,,,,,,,
,7,CBAZY™ Hook up Wire Kit (Stranded Wire Kit) 22 Gauge Flexible Silicone Rubber Electric Wire 6 Colors 19.6 feet Each 22 AWG,,,3,3,9,,,,,,,,,,,,,,,,,
,7,Fermerry Silicone Wire 14 Gauge Electrical Wire Kit Spool 25ft Each 6 Colors Flexible 14 AWG Stranded Tinned Copper Wire,,,3,3,9,,,,,,,,,,,,,,,,,
,7,CBAZY™ Hook up Wire Kit (Stranded Wire Kit) 18 Gauge Flexible Silicone Rubber Electric Wire 6 Colors 16.4 feet Each 18 AWG,,,3,3,9,,,,,,,,,,,,,,,,,
,7,CBAZY™ Hook up Wire Kit (Stranded Wire Kit) 30 Gauge Flexible Silicone Rubber Electric Wire 6 Colors 32.8 feet Each 30 AWG,,,3,3,9,,,,,,,,,,,,,,,,,
,35,HobbyPark 20x300mm RC Battery Straps Cable Straps Reusable Fastening Staps Securing Straps Hook Loop Cinch Cable Ties Down Wraps Adjustable Cinch Straps (6PCS),,,3,3,9,,,,,,,,,,,,,,,,,
,8,"1705 Pcs Machine Screw Assortment Kit, M2 M3 M4 M5 Metric Bolts and Nuts Kit with Lock and Flat Washers, Hex Button Head 10.9 Alloy Steel Cap Screw Set with Allen Wrench",,,3,3,9,,,,,,,,,,,,,,,,,
,2,"Dremel 4300-5/40 High Performance Rotary Tool Kit with LED Light- 5 Attachments & 40 Accessories- Engraver, Sander, and Polisher- Perfect for Grinding, Cutting, Wood Carving, Sanding, and Engraving",,,3,3,9,,,,,,,,,,,,,,,,,
,2,binifiMux 30pcs 304 Stainless Steel M5-0.8mm Pitch Hex Flange Nylon Inserted Self Lock Nuts,,,3,3,9,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
RotorVillage Order,LIST #,PART NAME,REF,NOTE,PER BUILD,BUILDS,TOTAL,,,,,,,,,,,,,,,,,
,18,RunCam Nano 2 × 2,,,1,3,3,,,,,,,,,,,,,,,,,
,23,BetaFPV 0702 II Brushless Motors 30000KV (4-Pack),,,1,3,3,,,,,,,,,,,,,,,,,
,9,NewBeeDroone BeeBrain Goober Canopy,,,1,3,3,,,,,,,,,,,,,,,,,
,9,"FlyFishRC Volador VX3 O3 Freestyle Frame Kit 3""",,,1,3,3,,,,,,,,,,,,,,,,,
,16,SpeedyBee F405 Mini BLS 35A 20x20 Stack,,,2,3,6,,,,,,,,,,,,,,,,,
,16,Skystars F7+AM60 AM_32 ESC 30x30 Stack,,,2,3,6,,,,,,,,,,,,,,,,,
,18,CADDXFPV Ratel Pro Analog Camera,,,2,3,6,,,,,,,,,,,,,,,,,
,18,Foxeer Micro Toothless 2 Camera,,,2,3,6,,,,,,,,,,,,,,,,,
,21,XR3 Nano Multi-Frequency Antenna Diversity ExpressLRS Receiver ,,,2,3,6,,,,,,,,,,,,,,,,,
,16,SpeedyBee F405 V4 BLS 60A 30x30 Stack,,,2,3,6,,,,,,,,,,,,,,,,,
,18,Foxeer Micro Cat 3 1200TVL Low Light Camera,,,1,3,3,,,,,,,,,,,,,,,,,
,29,Sequre M10 Series GPS Module,,,2,3,6,,,,,,,,,,,,,,,,,
,34,GEMFAN Proxy 51275.5 Tri-Blade,,,8,3,24,,,,,,,,,,,,,,,,,
,24,Tattu R-Line Version 5.0 850mAh 4S 14.8V 150C Lipo Battery Pack With XT30U-F Plug,,,5,3,15,,,,,,,,,,,,,,,,,
,25,Tattu R-Line Version 4.0 1400mAh 22.2V 130C 6S1P Lipo Battery Pack with XT60 Plug,,,1,3,3,,,,,,,,,,,,,,,,,
,25,GNB 6S 22.2V 6500mAh 110C LiPo Battery XT90,,,3,3,9,,,,,,,,,,,,,,,,,
,26,CNHL Pizza Series 350mAh 3.8V 1S 75C Lipo Battery with BT2.0 (5-Pack,,,2,3,6,,,,,,,,,,,,,,,,,
,9,NewBeeDrone Cockroach 65mm Brushless LiteAF Racing Frame,,,3,3,9,,,,,,,,,,,,,,,,,
,16,SuperX V2.0 AIO,,,2,3,6,,,,,,,,,,,,,,,,,
,23,RCINPOWER GTS V3 0703 Brushless Motor,,,8,3,24,,,,,,,,,,,,,,,,,
,18,RunCam Phoenix 2 Special Edition V2,,,2,3,6,,,,,,,,,,,,,,,,,
,17,Sub250 Send T1600 VTX,,,8,3,24,,,,,,,,,,,,,,,,,
,23,RCINPOWER GTS V3 1404 Plus Motor,,,16,3,48,,,,,,,,,,,,,,,,,
,21,Jumper ELRS 2.4GHX RX Mini SE,,,4,3,12,,,,,,,,,,,,,,,,,
,9,FlyFish RC Volador Ⅱ VD5 (DC) FPV Frame Kit (Black),,,2,3,6,,,,,,,,,,,,,,,,,
,23,Emax RSIII 2306 FPV Racing motor - 1500KV/1800KV/2100KV/2500KV,,,12,3,36,,,,,,,,,,,,,,,,,
,29,Sequre M10 Series GPS Module,,,4,3,12,,,,,,,,,,,,,,,,,
,16,Axisflying Argus ECO 60A+F405 STACK,,,1,3,3,,,,,,,,,,,,,,,,,
,16,GEPRC SPAN F722-BT-HD V2 Stack,,,1,3,3,,,,,,,,,,,,,,,,,
,23,Skystars 2808 1100KV Motor,,,12,3,36,,,,,,,,,,,,,,,,,
,23,Skystars 3115 900KV,,,12,3,36,,,,,,,,,,,,,,,,,
,34,GEMFAN 3020 Tri-Blade Propellers,,,8,3,24,,,,,,,,,,,,,,,,,
,34,"Gemfan 353D 3D 3.5"" Propellers (4-Pack)",,,8,3,24,,,,,,,,,,,,,,,,,
,34,GEMFAN Flash 7042-2 Propellers,,,8,3,24,,,,,,,,,,,,,,,,,
,34,Gemfan Street League 7043-3,,,4,3,12,,,,,,,,,,,,,,,,,
,34,Gemfan 1050 CL Cinelifter 3-Blade Propeller (Set of 2),,,8,3,24,,,,,,,,,,,,,,,,,
,26,Tattu 270mAh 3.8V High Voltage 75C 1S1P Lipo Battery Pack with JST-PHR 2.0 Plug (5pcs),,,5,3,15,,,,,,,,,,,,,,,,,
,51,GEPRC WooPower W63 1S Charger,,,1,3,3,,,,,,,,,,,,,,,,,
,24,GNB 4S 14.8V 700mAh 120C XT30 LiPo Battery,,,5,3,15,,,,,,,,,,,,,,,,,
,25,Tattu R-Line Version 5.0 1050mAh 6S 22.2V 150C Lipo Battery Pack With XT60 Plug,,,5,3,15,,,,,,,,,,,,,,,,,
,51,UltraPower UP8 AC/DC Smart Charger,,,1,3,3,,,,,,,,,,,,,,,,,
,51,HOTA H6 Pro AC/DC Charger,,,2,3,6,,,,,,,,,,,,,,,,,
,51,HOTA F6 4x250W 15A 4 Channel Smart Balance Charger with Type-C,,,1,3,3,,,,,,,,,,,,,,,,,
,51,ToolKitRC ADP-180 180w Power Supply with XT60 Output × 1,,,1,3,3,,,,,,,,,,,,,,,,,
,25,Tattu 22.2V 25C 6S 8000mAh Lipo Battery Pack with XT60 Plug ,,,6,3,18,,,,,,,,,,,,,,,,,
,25,Tattu 4500mAh 22.2V 25C 6S1P Lipo Battery Pack with XT60 Plug ,,,3,3,9,,,,,,,,,,,,,,,,,
,25,GNB 2200MAH 6S 120C LIPO XT60,,,2,3,6,,,,,,,,,,,,,,,,,
,16,GEPRC Taker F405 BLS 100A 8S Stack,,,1,3,3,,,,,,,,,,,,,,,,,
,23,GTS4715 Red (490KV),,,4,3,12,,,,,,,,,,,,,,,,,
,14,DYS F722 Flight Controller,,,1,3,3,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Victory Drone,LIST #,PART NAME,REF,NOTE,PER BUILD,BUILDS,TOTAL,,,,,,,,,,,,,,,,,
,11,APEX HD 7 inch Frame Kit,,,1,20,20,,,,,,,,,,,,,,,,,
,,EMAX ECOII 1300KV,,Be sure to get the 4 pack,1,20,20,,,,,,,,,,,,,,,,,
,,SpeedyBee F405 V4 with BLS 60A ESC,,Be sure to get the stack and not the FC or ESC individually,1,20,20,,,,,,,,,,,,,,,,,
,,RUSH MAX SOLO 5.8GHz 2.5W High Power 48CH VTX,,,1,20,20,,,,,,,,,,,,,,,,,
,,Foxeer Micro Cat 3,,"Be sure to get the Micro Cat, not the Mini Cat",1,20,20,,,,,,,,,,,,,,,,,
,,4 inch SMA to MMCX Right Angle RF Coaxial Cable,,Be sure to get the SMA female to MMCX right angle cable,1,20,20,,,,,,,,,,,,,,,,,
,,HappyModel EP1 ELRS Receiver,,,1,20,20,,,,,,,,,,,,,,,,,
,,HQProp 7040 7x4x3 propellers,,,4,20,80,,,,,,,,,,,,,,,,,
,,15CM Long 5.8G Lollipop 4 antenna with SMA connector,,Be sure to get the SMA connector,1,20,20,,,,,,,,,,,,,,,,,
,,20 mm x 250 mm battery strap with metal buckle,,,1,20,20,,,,,,,,,,,,,,,,,
,,4S 1850 mAh 120C,,,1,20,20,,,,,,,,,,,,,,,,,
